JPY,CNY,HKD,MYR,NZD,SGD
161.26,7.8614,8.605,4.8195,1.7839,1.4453
162.56,7.8677,8.6239,4.8171,1.7767,1.4464
161.19,7.8585,8.6455,4.7901,1.7709,1.4441
160.36,7.8653,8.6422,4.78,1.768,1.4432
160.57,7.9253,8.6711,4.8281,1.7823,1.4493
161.24,7.9547,8.7073,4.8527,1.7912,1.4552
160.94,7.9512,8.7023,4.8531,1.8008,1.4546
162.37,7.9364,8.6728,4.8654,1.8061,1.4551
162.64,7.9491,8.6814,4.8749,1.8107,1.4568
162.26,7.9306,8.6634,4.8688,1.8109,1.4529
162.18,7.9192,8.6345,4.852,1.8042,1.4493
161.22,7.8848,8.604,4.8376,1.817,1.4464
162.72,7.8758,8.5705,4.872,1.824,1.4497
162.14,7.8816,8.58,4.8834,1.832,1.4505
161.98,7.8627,8.5824,4.8704,1.8324,1.4494
161.17,7.8301,8.5143,4.8648,1.8089,1.4454
161.25,7.8439,8.5157,4.8682,1.811,1.4474
160.33,7.828,8.514,4.828,1.8156,1.4453
159.74,7.8393,8.5168,4.8912,1.823,1.4474
160.62,7.8425,8.5162,4.9111,1.815,1.4499
158.29,7.8071,8.5055,4.8834,1.8423,1.4485
155.98,7.8046,8.5335,4.8525,1.8461,1.4475
161.37,7.8075,8.4625,4.873,1.8196,1.4424
162.66,7.8203,8.432,4.9295,1.814,1.4437
162.76,7.8194,8.4589,4.9749,1.8289,1.4491
167.61,7.8489,8.4558,5.0034,1.8386,1.4554
166.44,7.8518,8.449,5.018,1.8418,1.454
167.84,7.875,8.4782,5.058,1.8427,1.4594
165.62,7.8331,8.4682,5.0598,1.8401,1.4566
167.23,7.8934,8.4716,5.0687,1.8267,1.4577
169.64,7.9003,8.4788,5.0738,1.8209,1.4615
170.8,7.9191,8.5006,5.0961,1.8171,1.4648
171.61,7.9165,8.5049,5.1047,1.8087,1.4645
171.02,7.9327,8.535,5.1016,1.801,1.4655
171.21,7.9372,8.5368,5.0991,1.7975,1.466
172.65,7.9223,8.5082,5.0978,1.796,1.4647
172.34,7.9206,8.5133,5.0952,1.7904,1.464
172.87,7.8984,8.5019,5.0851,1.7819,1.4623
175.39,7.8862,8.4767,5.0883,1.7836,1.4627
174.79,7.8763,8.4554,5.0883,1.7804,1.4605
174.2,7.8639,8.4477,5.0907,1.7681,1.4608
174.37,7.8766,8.4631,5.1022,1.7655,1.4618
174.06,7.8655,8.4544,5.097,1.7672,1.4612
173.84,7.8515,8.434,5.0863,1.7641,1.4594
174.18,7.8247,8.4033,5.0783,1.7717,1.4593
173.31,7.8014,8.3829,5.063,1.7693,1.4569
173.15,7.8097,8.3945,5.0641,1.7638,1.4567
171.94,7.7748,8.3594,5.0501,1.7601,1.4513
171.66,7.7745,8.3521,5.048,1.7543,1.4519
171.42,7.7673,8.3459,5.042,1.7537,1.4513
170.84,7.7811,8.3652,5.0404,1.7498,1.4499
171.17,7.7891,8.3772,5.0554,1.7543,1.452
169.82,7.7602,8.3401,5.0373,1.7427,1.4468
169.82,7.7825,8.3654,5.0492,1.7492,1.4504
169.78,7.8005,8.3905,5.059,1.7528,1.4519
169.41,7.7748,8.3664,5.0511,1.7562,1.451
169.11,7.7728,8.3667,5.0555,1.7526,1.4497
167.8,7.7529,8.347,5.0433,1.7418,1.4464
169.58,7.8211,8.4224,5.0766,1.7477,1.4557
169.35,7.8086,8.4082,5.0784,1.7528,1.4553
168.46,7.7839,8.3802,5.064,1.7513,1.4517
168.74,7.7957,8.4043,5.0779,1.7595,1.4548
169.52,7.8916,8.5095,5.1123,1.7596,1.4653
169.74,7.8715,8.4853,5.1,1.7584,1.4648
169.72,7.8795,8.4904,5.1077,1.7577,1.4657
168.29,7.863,8.4901,5.1087,1.7624,1.464
170.09,7.8562,8.4797,5.1033,1.7614,1.4638
170.52,7.8577,8.4838,5.108,1.7696,1.4663
169.5,7.8261,8.4556,5.0874,1.7706,1.4612
170.74,7.8706,8.4811,5.1066,1.7716,1.4652
170.54,7.8842,8.4994,5.1077,1.7648,1.4659
170.07,7.8545,8.4663,5.093,1.7665,1.4633
170.28,7.8522,8.468,5.1073,1.7747,1.4639
169.9,7.8578,8.4749,5.1063,1.7703,1.4637
169.54,7.8414,8.4538,5.082,1.7724,1.4616
169.86,7.861,8.4778,5.0979,1.781,1.4632
169.25,7.856,8.4712,5.0884,1.7773,1.4628
168.96,7.837,8.46,5.0831,1.7751,1.4609
168.33,7.843,8.4798,5.0885,1.7794,1.4617
168.43,7.8212,8.4578,5.0986,1.786,1.4609
168.89,7.8103,8.4341,5.0952,1.7934,1.4609
168.25,7.8095,8.4329,5.1082,1.7923,1.4605
167.87,7.7877,8.4228,5.1082,1.7923,1.4592
167.32,7.7554,8.3881,5.0878,1.7881,1.4558
167.15,7.7651,8.3989,5.0949,1.7948,1.4572
166.45,7.7707,8.4197,5.1009,1.7918,1.457
165.7,7.7662,8.4223,5.1067,1.7891,1.4548
164.62,7.7798,8.3961,5.0927,1.7952,1.4527
165.63,7.7465,8.3633,5.0864,1.8047,1.4538
168.27,7.7609,8.3817,5.113,1.8035,1.4593
167.53,7.7627,8.3904,5.1108,1.7932,1.4578
168.03,7.7638,8.3873,5.1079,1.801,1.4587
166.76,7.7682,8.392,5.1215,1.799,1.4581
165.57,7.7431,8.37,5.1058,1.801,1.4547
165.23,7.7353,8.364,5.1022,1.8047,1.4543
164.51,7.7012,8.3316,5.08,1.8004,1.449
164.68,7.7139,8.3443,5.0959,1.8105,1.451
164.82,7.7294,8.3635,5.1083,1.8013,1.452
164.54,7.7006,8.3307,5.0972,1.8012,1.4495
164.54,7.6995,8.3304,5.0973,1.8072,1.4509
164.05,7.7134,8.3419,5.0925,1.7943,1.4498
163.16,7.7094,8.3478,5.081,1.7872,1.4478
164.18,7.7646,8.4058,5.0936,1.792,1.4518
164.89,7.8548,8.506,5.1558,1.7856,1.4605
164.97,7.8603,8.5096,5.1591,1.7938,1.4623
164.43,7.8282,8.4761,5.1425,1.7984,1.4607
164.1,7.8421,8.4868,5.1462,1.8001,1.4608
164.69,7.8501,8.4957,5.1433,1.7998,1.4628
163.66,7.8023,8.4421,5.1273,1.8054,1.4571
163.01,7.7779,8.4148,5.1106,1.804,1.4535
163.45,7.8144,8.4594,5.1168,1.8092,1.4587
163.52,7.8182,8.4615,5.1192,1.8043,1.4586
164.4,7.8358,8.492,5.1236,1.8036,1.4595
163.78,7.8134,8.4748,5.1195,1.8046,1.4573
163.74,7.8245,8.4645,5.1274,1.802,1.4593
164.96,7.852,8.53,5.1424,1.7963,1.4619
164.54,7.8058,8.4837,5.1379,1.7976,1.4579
163.37,7.814,8.4902,5.1372,1.7938,1.4565
162.51,7.8402,8.5168,5.1394,1.7881,1.4575
162.03,7.838,8.5199,5.1241,1.786,1.4562
161.7,7.8564,8.5455,5.1195,1.7748,1.4567
161.83,7.8678,8.5574,5.1282,1.777,1.4581
161.39,7.835,8.5405,5.106,1.7737,1.4546
160.43,7.8471,8.544,5.1177,1.7705,1.4535
160.99,7.8594,8.5492,5.1216,1.7674,1.4558
161.09,7.8412,8.5215,5.1266,1.7688,1.4549
162.67,7.8281,8.5088,5.1456,1.7812,1.4578
163.01,7.8104,8.4873,5.137,1.7847,1.4578
163.22,7.8084,8.4861,5.1231,1.7789,1.457
162.82,7.7837,8.465,5.1318,1.7764,1.4563
162.53,7.7888,8.4735,5.1375,1.7807,1.457
162.87,7.7807,8.4599,5.1565,1.7728,1.4554
163.04,7.814,8.4947,5.1696,1.7601,1.4584
163.38,7.81,8.4898,5.184,1.756,1.4582
162.91,7.7972,8.476,5.1759,1.7445,1.4553
163.12,7.7988,8.4817,5.1796,1.7497,1.4552
162.12,7.773,8.4544,5.1818,1.7479,1.4524
162.18,7.7718,8.4487,5.1823,1.7493,1.4525
161.59,7.757,8.4273,5.1585,1.7536,1.4503
161.88,7.7461,8.4236,5.1476,1.7648,1.45
161.26,7.7288,8.4009,5.1363,1.7625,1.4472
161.28,7.7065,8.3754,5.1271,1.7607,1.4451
161.17,7.7641,8.4372,5.1439,1.7636,1.451
160.51,7.7497,8.4245,5.1344,1.7568,1.4484
161,7.7489,8.4237,5.1329,1.7553,1.4503
160.55,7.742,8.4139,5.131,1.7668,1.4489
159.71,7.7529,8.4273,5.1305,1.7622,1.4472
159.56,7.7231,8.4042,5.1196,1.7713,1.4448
159.72,7.735,8.4053,5.1049,1.7755,1.4474
159.58,7.8111,8.509,5.1332,1.7673,1.4533
158.96,7.7668,8.4563,5.115,1.7757,1.4499
160.19,7.7789,8.4734,5.1259,1.7705,1.4517
159.97,7.7866,8.4775,5.1274,1.7721,1.4534
160.13,7.7702,8.4549,5.1236,1.7696,1.4516
160.62,7.7994,8.4933,5.1393,1.7801,1.457
160.81,7.8093,8.5136,5.154,1.7805,1.4591
160.46,7.7996,8.5265,5.1597,1.7785,1.4585
160.88,7.7953,8.5046,5.1392,1.7839,1.4568
160.95,7.8349,8.513,5.1472,1.78,1.4606
161.17,7.8291,8.5128,5.1359,1.7798,1.4599
160.89,7.8231,8.5062,5.1308,1.7802,1.4619
160.65,7.8262,8.511,5.1312,1.7779,1.4615
159.64,7.8237,8.516,5.1058,1.7681,1.4589
159.67,7.8529,8.5599,5.1108,1.7679,1.4601
159.17,7.8451,8.5599,5.0853,1.7552,1.4583
159.71,7.8649,8.5899,5.1046,1.7577,1.46
159.03,7.8476,8.5602,5.0806,1.7567,1.4573
157.63,7.8381,8.5499,5.08,1.7526,1.4557
158.19,7.8397,8.5459,5.091,1.7607,1.457
158.57,7.813,8.5297,5.0826,1.7564,1.4537
157.91,7.833,8.5523,5.0762,1.7528,1.4546
156.16,7.8057,8.5257,5.0566,1.7515,1.4503
155.68,7.8264,8.5609,5.0425,1.7471,1.4533
156.33,7.8509,8.6314,5.0775,1.7504,1.4591
156.57,7.8941,8.6876,5.1213,1.7536,1.4643
157.81,7.9086,8.6409,5.122,1.7483,1.4628
156.66,7.864,8.6105,5.1059,1.7505,1.4593
156.79,7.8426,8.5781,5.1131,1.7536,1.4598
157.12,7.8121,8.5439,5.0977,1.7421,1.4562
158.2,7.8231,8.5498,5.1319,1.755,1.4589
155.95,7.7893,8.5135,5.1249,1.7514,1.4539
155.15,7.7812,8.5438,5.1123,1.7612,1.456
154.8,7.7866,8.5251,5.1019,1.7603,1.4527
157.13,7.7426,8.4288,5.0764,1.7691,1.449
156.84,7.7447,8.4377,5.0611,1.7573,1.4479
157.54,7.7206,8.3971,5.037,1.7608,1.4454
155.53,7.7179,8.419,5.0269,1.7532,1.4426
156.18,7.7058,8.4174,5.0344,1.7554,1.4436
158.7,7.7148,8.4173,5.0317,1.7509,1.4452
159.13,7.7269,8.4562,5.0483,1.7637,1.4487
159.47,7.758,8.4929,5.0618,1.7555,1.4515
161.14,7.7685,8.497,5.0824,1.7638,1.4551
161.19,7.8008,8.5384,5.0933,1.7762,1.4602
162.12,7.8296,8.5711,5.1105,1.7843,1.4629
162.74,7.8323,8.5368,5.1148,1.798,1.463
162.86,7.8331,8.531,5.1262,1.7955,1.4641
163.3,7.809,8.5086,5.1136,1.7992,1.464
162.98,7.7852,8.5,5.1001,1.8052,1.4618
162.25,7.8015,8.5061,5.1042,1.8065,1.4622
161.61,7.8178,8.5409,5.0974,1.8026,1.4638
162.12,7.8378,8.5165,5.1006,1.8132,1.4641
162.29,7.8414,8.4785,5.0881,1.8161,1.461
164.05,7.8655,8.464,5.0866,1.8141,1.4634
163.39,7.8702,8.4852,5.0781,1.7985,1.4645
162.67,7.8171,8.3754,5.0596,1.827,1.4592
161.96,7.7794,8.3309,5.0234,1.8142,1.452
161.77,7.7874,8.3433,5.0296,1.8119,1.4525
161.57,7.7886,8.3505,5.0168,1.8035,1.4523
160.97,7.7699,8.3408,4.9978,1.8006,1.4481
160.77,7.7839,8.3558,4.992,1.8046,1.4483
160.87,7.8094,8.402,4.9801,1.7987,1.4501
159.87,7.8193,8.3745,5.0615,1.7917,1.4516
159.89,7.8009,8.3424,5.0656,1.8041,1.4522
159.33,7.712,8.2436,5.0272,1.8068,1.4443
160.3,7.7686,8.3079,5.0594,1.8224,1.4525
158.8,7.7595,8.2939,5.0506,1.8175,1.4483
158.08,7.7143,8.2426,5.037,1.8102,1.4455
158.48,7.7142,8.2432,5.0447,1.818,1.4454
158.55,7.7381,8.2728,5.0553,1.8166,1.4484
159.26,7.772,8.3169,5.0874,1.8173,1.4532
158.91,7.7529,8.293,5.0812,1.822,1.4541
158.8,7.7489,8.2851,5.0493,1.8166,1.4526
158.21,7.7233,8.2624,5.0319,1.8119,1.4499
158.1,7.7278,8.2687,5.0126,1.7919,1.4467
158.03,7.7288,8.2681,5.0055,1.7929,1.4471
157.54,7.7058,8.2382,4.9908,1.7798,1.4427
157.44,7.6902,8.2353,4.9763,1.7821,1.4405
158.35,7.7514,8.3056,5.0042,1.7704,1.447
157.87,7.7433,8.2917,5.0035,1.7614,1.4451
157.71,7.7238,8.2744,5.0053,1.7612,1.446
157.06,7.6784,8.2458,4.9833,1.7612,1.4419
157.47,7.7162,8.2728,4.9789,1.7711,1.4436
156.71,7.6856,8.2412,4.9762,1.7715,1.4421
156.48,7.6644,8.2191,4.9661,1.7792,1.4402
157.01,7.6439,8.1992,4.945,1.775,1.4393
157.67,7.6885,8.2476,4.967,1.7641,1.4449
158.1,7.7352,8.2959,4.9741,1.7575,1.4443
157.33,7.6986,8.2491,4.9618,1.7698,1.4431
157.2,7.7031,8.2397,4.9603,1.7779,1.4449
157.87,7.7517,8.2942,4.9737,1.7782,1.45
158.08,7.7728,8.3126,4.9816,1.7823,1.4524
157.87,7.7766,8.3262,4.9908,1.7833,1.4529
157.34,7.7695,8.3181,4.9894,1.8004,1.4559
158.28,7.8059,8.3719,5.0144,1.7946,1.4581
158.2,7.8111,8.3756,5.0308,1.8022,1.4596
157.44,7.7796,8.3386,4.9999,1.8067,1.4551
157.5,7.7561,8.3416,4.9922,1.8008,1.4524
158.13,7.8093,8.3998,5.0238,1.8097,1.4601
158.28,7.8144,8.3984,5.023,1.8188,1.4615
157.42,7.8115,8.3879,5.0105,1.815,1.4597
157.16,7.823,8.3995,5.0129,1.81,1.4594
157.84,7.8565,8.3915,5.0057,1.8127,1.4605
157.7,7.8488,8.3961,5.0107,1.8193,1.4613
158.18,7.8476,8.4261,5.0222,1.8224,1.4624
158.2,7.838,8.4134,5.006,1.8297,1.4614
158.11,7.8528,8.462,5.0279,1.817,1.4622
157.47,7.8679,8.5068,5.0397,1.8164,1.464
158.49,7.9196,8.525,5.0428,1.8259,1.4686
159.15,7.9347,8.5427,5.0511,1.825,1.4723
158.93,7.88,8.477,5.0185,1.8307,1.4649
158.35,7.8822,8.4789,5.0306,1.8283,1.4659
157.75,7.8783,8.477,5.0149,1.8248,1.4641
157.96,7.8934,8.5009,5.0352,1.8266,1.4681
157.28,7.8796,8.4716,5.0313,1.8224,1.4677
158.7,7.9387,8.5328,5.0603,1.8264,1.4754
159.15,7.9456,8.5488,5.0706,1.8407,1.4791
158.11,7.9197,8.5105,5.0504,1.835,1.4751
158.88,7.9387,8.5318,5.0712,1.8298,1.4793
159.07,7.9657,8.5466,5.0536,1.8282,1.4822
159.04,7.9605,8.5482,5.065,1.8305,1.4829
158.68,7.9356,8.5458,5.0464,1.8305,1.4813
158.97,7.9584,8.6007,5.0475,1.8299,1.485
158.43,7.9434,8.6127,5.0368,1.8123,1.4826
157.35,7.903,8.5766,5.0146,1.8103,1.4761
156.55,7.895,8.5491,5.0151,1.8116,1.4766
156.21,7.8976,8.5744,5.0076,1.8004,1.473
156.11,7.8661,8.5485,4.9859,1.8009,1.4701
156.24,7.8397,8.5331,4.9795,1.7985,1.4678
156.88,7.8829,8.5679,4.9916,1.7961,1.4693
156.85,7.862,8.5508,4.9568,1.7834,1.4641
156.73,7.8808,8.5966,4.9703,1.7773,1.466
153.35,7.8799,8.5865,5.0145,1.7855,1.4653
155.95,7.951,8.6787,5.0307,1.7797,1.4727
155.3,7.9109,8.6308,5.0313,1.7814,1.4682
156.18,7.8915,8.6336,5.042,1.7785,1.4677
156.47,7.9749,8.6688,5.0736,1.7888,1.4762
157.63,7.986,8.6946,5.0738,1.7981,1.4792
156.35,8.024,8.7465,5.0868,1.7859,1.4807
156.76,8.1014,8.7612,5.0976,1.7949,1.4875
155.4,8.0745,8.7918,5.1126,1.7908,1.4866
155.38,8.0457,8.775,5.099,1.7727,1.4839
155.51,8.0076,8.7694,5.0786,1.7589,1.482
154.84,8.0098,8.7481,5.128,1.758,1.4816
153.84,7.9274,8.6268,5.1263,1.7818,1.4751
154.27,7.9143,8.6023,5.1181,1.7766,1.4748
155.73,7.9291,8.5783,5.1165,1.7707,1.4773
156.01,7.8773,8.5232,5.0842,1.7644,1.4717
156.57,7.882,8.5239,5.0811,1.7532,1.4712
157.26,7.8798,8.5108,5.062,1.759,1.4714
157.34,7.8646,8.5314,5.0684,1.7604,1.4694
157.81,7.9007,8.5402,5.0871,1.7755,1.4736
157.16,7.8983,8.5157,5.0717,1.7858,1.4732
157.74,7.914,8.5713,5.1097,1.7937,1.479
157.82,7.9262,8.5667,5.1097,1.7992,1.4799
157.14,7.8976,8.5782,5.1097,1.7739,1.4767
156.41,7.8972,8.5481,5.1025,1.769,1.4765
155.84,7.8141,8.5216,5.0899,1.7758,1.4726
156.05,7.8866,8.5987,5.1091,1.7698,1.4741
154.89,7.8519,8.551,5.0737,1.7697,1.4678
154.51,7.8462,8.556,5.0729,1.7714,1.4688
154.94,7.8182,8.5379,5.0542,1.7625,1.4646
154.65,7.81,8.5799,5.0603,1.7591,1.4647
152.86,7.7491,8.4661,5.0049,1.7559,1.4543
151.21,7.7363,8.4645,4.9954,1.7501,1.4499
150.62,7.7167,8.455,4.9831,1.7564,1.4467
150.03,7.6888,8.4326,4.9734,1.754,1.4457
150.24,7.6839,8.4493,4.9739,1.7627,1.448
149.98,7.6541,8.4126,4.9589,1.7696,1.446
149.42,7.6235,8.4029,4.9271,1.764,1.4432
149.09,7.604,8.3777,4.9222,1.7579,1.4411
149.96,7.6062,8.3787,4.8933,1.7662,1.4451
149.46,7.6065,8.4346,4.9268,1.7652,1.4474
149.25,7.6066,8.3786,4.9351,1.7775,1.4466
149.13,7.5926,8.3696,4.9307,1.7793,1.4467
150.01,7.599,8.4158,4.9439,1.7716,1.45
150.29,7.582,8.39,4.9343,1.7676,1.4499
150.24,7.5874,8.423,4.9465,1.7656,1.452
149.63,7.5891,8.4092,4.9655,1.7655,1.4515
149.3,7.6005,8.4462,4.9536,1.7582,1.4526
149.2,7.6039,8.448,4.926,1.7246,1.4527
149.64,7.6067,8.4696,4.9218,1.7232,1.4554
149.55,7.5766,8.4494,4.9052,1.7206,1.4538
149.08,7.5983,8.464,4.9053,1.7323,1.4544
148.31,7.5762,8.4788,4.9001,1.7313,1.4542
147.89,7.5793,8.5293,4.8954,1.7428,1.4545
148.15,7.5621,8.525,4.8915,1.7494,1.4548
147.02,7.5722,8.5425,4.8785,1.7503,1.4534
146.54,7.5817,8.5671,4.8775,1.7228,1.451
148.18,7.5818,8.5739,4.8821,1.7303,1.4541
147.97,7.5853,8.5934,4.8762,1.732,1.4544
149.15,7.6347,8.6618,4.8971,1.7389,1.462
147.8,7.6112,8.6434,4.8869,1.7488,1.46
